1,carbons
2,flourines
3,chlorines
4,bromines
5,iodines
6,sulfur
7,phosphorous
8,acyclic nitrogen
9,cyclic nitrogen 
10,acyclic oxygen
11,cyclic oxygen
12,heavy atoms
13,acyclic single bonds
14,acyclic double bonds
15,acyclic triple bonds
16,cyclic single bonds
17,cyclic double bonds
18,cyclic triple bonds
19,rotable bonds
20,H-bond acceptor sites
21,H-bond acceptor atoms
22,H-bond donor sites
23,H-bond acceptor atoms
24,negative charges
25,positive charges
26,acyclic single valent nodes
27,acyclic divalent nodes
28,acyclic trivalent nodes
29,acyclic tetravalent nodes
30,cyclic divalent nodes
31,cyclic trivalent nodes
32,cyclic tetravalent nodes
33,3-membered rings
34,4-membered rings
35,5-membered rings
36,6-membered rings
37,7-membered rings
38,8-membered rings
39,9-membered rings
40,more than 10-membered rings
41,nodes shared by more than 2 rings
42,edges shared by more than 2 rings
